Vertex	Core
Vertex	Core
417805	2
285604	2
285605	1
417806	3
285606	2
417807	1
417808	3
285607	8
417809	3
285608	2
285609	2
246000	1
246001	9
75905	8
75906	62
75907	25
75908	23
75909	12
417813	1
285612	13
285613	3
417816	5
285615	12
285616	1
417818	2
285618	1
285619	1
75910	17
75911	27
75912	15
75913	47
75914	1
75915	2
285620	1
285621	2
285622	2
285623	3
417824	2
417825	4
285624	2
417826	3
417827	3
285626	6
417828	1
285628	3
285629	1
3708	4
3709	10
417832	2
417833	3
417834	4
75900	67
75901	30
75902	14
75904	36
75927	2
246026	1
246027	2
246028	6
246029	14
3715	1
3716	1
246030	4
3717	2
3718	55
246032	7
246034	8
246035	3
246036	10
75930	2
75931	9
75932	13
75933	1
75934	34
3712	4
75935	24
3713	71
75936	1
75937	1
36391	2
75916	4
36392	36
75917	10
75918	8
36393	16
36394	9
75919	4
36395	2
36396	5
36397	2
36398	1
246037	6
246040	2
3727	4
246041	5
246044	2
246045	2
246046	7
246047	3
36399	4
75921	3
75922	27
75923	4
75924	32
3723	2
75925	24
75926	2
36380	66
75949	18
36381	9
36382	5
36383	1
36384	2
36386	4
36387	1
61301	8
246006	10
61302	8
61303	8
61304	2
246009	9
61305	5
61306	3
61307	1
3737	10
246010	1
246011	2
246012	5
246013	66
75950	12
246014	11
75951	5
75952	9
36388	1
3730	7
36389	5
75953	5
75954	9
75955	7
75956	4
75957	3
3735	40
75958	2
3736	37
75959	10
75938	9
36370	36
75939	9
36372	2
36375	2
36376	1
61310	7
61311	7
246015	2
61312	2
246016	2
246017	8
246018	10
246019	1
61316	2
61308	8
3749	25
246020	2
246022	3
246023	9
246024	5
75940	11
246025	2
75941	36
36377	1
75943	3
3743	3
75944	15
3744	2
75945	7
3745	5
75946	2
75947	24
75948	26
285671	5
285672	3
285674	1
3760	41
285676	6
285677	33
285679	5
3759	49
246073	4
271020	20
271021	23
246076	6
246077	5
271022	1
271023	6
246078	1
246079	3
271024	1
271025	3
3751	59
271026	5
271027	1
3753	1
271028	1
271029	5
246070	3
3757	12
246071	9
246072	1
285680	2
285681	1
285682	3
285684	10
285685	2
285686	2
3771	11
285687	3
285688	3
285689	2
246084	4
246085	2
246086	5
271010	4
246087	5
271011	4
246088	6
271012	1
271013	2
271014	2
271015	4
271018	7
246080	1
271019	6
246081	3
3768	36
246082	7
285690	3
285691	2
246083	5
285692	6
285693	12
285694	10
285695	12
3780	2
285696	3
285697	4
285698	4
3783	4
285699	2
246048	3
246049	4
246051	1
246052	7
246053	2
246054	2
271000	4
246055	6
271001	9
246056	1
271002	8
271003	2
246058	3
271004	2
3776	2
271007	3
271008	4
271009	5
3779	2
246050	7
3790	1
3791	2
246059	2
246062	10
246063	13
246064	4
246065	1
246066	4
246067	4
246068	4
3784	3
3786	2
246060	3
246061	4
285632	4
285633	2
285636	1
285637	4
285638	2
285639	4
271071	3
271072	3
271063	1
271064	6
271065	1
271066	3
271067	4
271068	8
271069	8
3799	13
285643	4
285644	3
285645	1
285646	1
285647	1
285648	2
271060	5
271061	5
271051	4
271054	1
271055	2
271056	18
271057	2
271058	4
271059	5
285650	1
285651	4
285656	2
285658	6
246095	1
271040	1
271041	6
246096	12
271042	4
246097	4
246098	4
246099	7
271046	14
271048	2
271049	2
246091	5
246092	2
246093	3
246094	20
285663	5
285664	2
285667	4
285668	7
285669	2
271032	2
271034	8
271035	8
271036	29
271037	3
271038	2
271039	1
128630	1
128631	4
128632	2
128633	9
36528	100
36529	1
36520	2
36521	10
36522	9
36523	13
128626	3
36524	1
128627	4
36525	2
128628	5
128629	4
271095	3
36517	4
36518	1
36519	1
271097	4
271098	3
271099	2
128612	8
128613	6
36511	7
128614	2
128615	16
36512	9
36513	1
128616	4
128617	26
36514	1
36515	8
128618	1
36516	9
153610	12
128610	8
153611	11
128611	5
153612	2
153613	4
153614	16
271090	2
153615	16
271091	5
153616	2
271092	3
271093	12
153618	3
36506	4
271084	4
128609	3
271085	6
271086	3
36509	1
271087	5
271088	3
271089	5
128601	9
128602	2
128603	7
128604	15
36502	2
128605	4
36503	2
128606	6
128607	6
36505	4
128608	2
128600	17
153600	9
153601	2
153602	13
153603	8
153604	6
153605	2
271080	1
153606	3
271081	3
271082	3
153608	1
153609	17
271073	10
271074	3
271075	2
271076	3
271077	2
271078	3
271079	4
128670	1
128672	4
128673	4
128674	4
128675	6
128676	6
128677	5
114027	5
114034	2
114035	2
114036	6
128667	4
128668	2
128669	1
128660	2
128661	3
128662	8
128663	1
128665	2
128666	2
114015	16
114017	4
114018	1
114019	6
114020	11
114021	3
114025	3
128656	88
128657	40
128658	2
128659	5
128650	6
128651	13
128652	2
128653	1
128654	4
128655	3
114004	5
114005	5
114006	5
114007	5
114008	9
114009	5
114012	1
114013	3
114014	3
128645	11
128646	17
128647	16
128648	16
128649	16
128640	1
128641	9
128642	9
128643	10
128644	7
114000	2
128634	12
128635	4
128636	2
128637	6
128638	42
128639	6
128593	14
403351	7
36480	1
128594	8
403352	7
36481	41
128595	6
403353	7
128596	3
403354	7
36483	3
128597	6
403355	7
128598	12
61440	3
153554	3
36484	1
403356	1
36485	41
128599	4
61441	4
153555	2
61442	2
403358	13
36486	6
153557	14
61443	2
153558	9
61445	1
153559	9
61446	7
61447	78
61448	12
128590	38
61449	2
128591	3
128592	3
403350	7
36487	3
36488	8
403349	7
36489	5
10	6
11	3
128582	15
403340	5
128583	9
403341	5
153540	5
403342	5
128584	2
128585	4
36471	1
403343	3
153541	6
153542	2
128586	4
403344	13
36472	1
403345	13
36473	4
128587	4
153543	5
153544	2
403346	13
61452	4
128588	3
61453	53
128589	3
153545	3
61454	4
153546	3
61455	10
153547	3
61456	3
61457	3
61459	3
128580	1
128581	47
36476	4
128579	1
36477	3
36478	3
403339	1
36479	13
21	2
128571	7
153571	3
153572	21
128572	1
153573	14
128573	2
61460	3
36460	4
153574	1
128574	2
36461	27
61461	6
128575	7
27	2
61462	11
153576	3
36462	2
128576	6
61463	10
36463	38
29	3
61464	41
36464	2
61465	12
153579	7
128570	2
128568	3
36465	19
403326	2
36466	24
128569	2
36468	1
403329	2
36469	33
153580	2
128560	3
153560	9
128561	18
153561	2
35	2
153562	20
128562	4
61471	1
128563	4
36450	25
61472	4
128564	13
128565	5
61473	4
39	1
36452	3
128566	8
403324	2
403325	2
128567	4
61476	2
61477	37
61478	5
61479	10
36454	84
128557	12
36455	3
128558	2
403316	7
36456	33
128559	3
403317	7
36457	9
403318	2
36458	7
403319	2
36459	39
153570	5
403395	22
61480	4
403396	22
403397	22
61482	3
403398	22
36440	7
153510	8
61485	8
36441	1
36442	35
61486	4
417956	2
417957	4
61488	1
417958	4
61489	12
153515	3
417959	1
153516	1
403390	22
153517	29
403391	22
153518	1
403392	22
153519	7
403393	22
403394	22
417960	4
417961	4
417962	2
417963	3
417964	2
417965	4
417966	1
36445	9
36447	48
36448	3
